,指数名称,最新PE,PE分位,最新PB,PB分位,股息率,股息率分位,指数代码,指数开始时间,更新时间
261,科创板100,298.81,89.38,3.58,16.25,0.65,60.63,000698.SH,2023-08-07,2024-04-03
262,道琼斯工业指数,26.69,89.4,6.68,90.72,1.43,3.49,DJI.GI,1899-12-31,2024-04-01
263,动漫游戏,331.97,91.21,2.57,38.0,1.32,81.39,930901.CSI,2016-10-18,2024-04-03
264,中证100,13.5,91.49,1.56,73.2,3.01,78.63,000903.SH,2006-05-29,2024-04-03
265,中证农业,51.42,93.79,2.5,6.78,1.55,57.21,000949.CSI,2009-10-28,2024-04-03
266,中证旅游,51.34,94.78,2.34,7.56,0.23,4.7,930633.CSI,2015-05-08,2024-04-03
267,标普500信息技术,37.86,95.42,11.09,93.3,0.69,0.13,S5INFT.SPI,1996-06-28,2024-04-01
268,北证50,30.8,96.16,2.71,49.25,1.21,37.1,899050.BJ,2022-11-21,2024-04-03
269,猪产业指数,79.26,96.77,3.14,11.05,1.98,71.48,884251.WI,2015-12-31,2023-10-27
270,鸡产业指数,106.48,97.56,2.77,26.08,1.01,25.14,884252.WI,2015-12-31,2024-02-27
271,费城半导体指数,50.53,99.47,9.24,99.34,0.68,0.73,SOX.GI,,2024-04-01
272,农牧渔,200.92,99.91,2.62,18.7,1.33,56.5,930910.CSI,2016-12-12,2024-04-03
273,中证畜牧,251.05,99.94,2.82,14.45,1.26,44.09,930707.CSI,2015-07-13,2024-04-03
274,中证全指房地产,393.81,96.95,0.66,0.0,2.48,53.07,931775.CSI,2013-07-15,2024-04-02
